date,weekday,n1,n2,n3,n4,n5,e1,e2
2020-08-21,Friday,26,27,30,46,49,1,2
2020-08-28,Friday,8,11,22,38,41,4,7
2020-09-04,Friday,5,23,28,38,49,3,9
2020-09-11,Friday,2,5,24,43,45,4,10
2020-09-18,Friday,7,12,14,40,42,7,8
2020-09-25,Friday,1,7,9,29,46,9,10
2020-10-02,Friday,15,19,34,39,49,2,7
2020-10-09,Friday,1,11,17,23,29,1,8
2020-10-16,Friday,5,11,35,44,50,4,10
2020-10-23,Friday,17,21,23,37,45,7,9
2020-10-30,Friday,11,19,24,33,39,1,4
2020-11-06,Friday,5,12,26,47,50,2,3
2020-11-13,Friday,5,17,21,37,38,1,4
2020-11-20,Friday,18,20,34,49,50,7,8
2020-11-27,Friday,1,2,22,25,30,5,10
2020-12-04,Friday,1,27,37,40,41,7,10
2020-12-11,Friday,4,13,15,41,49,1,9
2020-12-18,Friday,4,17,27,28,50,5,8
2020-12-25,Friday,7,10,19,26,42,1,9
2021-01-01,Friday,17,36,38,43,46,4,6
2021-01-08,Friday,8,22,25,38,50,8,9
2021-01-15,Friday,10,19,32,36,46,4,6
2021-01-22,Friday,38,40,41,46,48,2,6
2021-01-29,Friday,16,30,33,36,43,4,8
2021-02-05,Friday,2,3,16,33,46,2,10
2021-02-12,Friday,15,18,24,27,44,2,7
2021-02-19,Friday,27,35,36,38,41,5,7
2021-02-26,Friday,3,13,24,29,32,1,7
2021-03-05,Friday,9,23,34,40,42,1,4
2021-03-12,Friday,6,11,18,26,34,5,8
2021-03-19,Friday,3,11,19,34,37,8,9
2021-03-26,Friday,7,38,41,44,50,1,8
2021-04-02,Friday,1,3,4,36,43,2,3
2021-04-09,Friday,11,18,23,29,32,3,7
2021-04-16,Friday,12,19,20,28,31,6,9
2021-04-23,Friday,3,6,11,14,49,1,5
2021-04-30,Friday,23,27,34,40,43,5,7
2021-05-07,Friday,3,7,19,27,29,7,10
2021-05-14,Friday,1,15,29,42,50,3,6
2021-05-21,Friday,2,12,15,33,39,4,9
2021-05-28,Friday,15,26,35,37,43,3,8
2021-06-04,Friday,13,17,26,49,50,1,7
2021-06-11,Friday,8,20,23,48,50,8,9
2021-06-18,Friday,11,14,44,46,49,7,10
2021-06-25,Friday,4,17,22,30,47,1,8
2021-07-02,Friday,4,5,10,25,31,4,6
2021-07-09,Friday,8,14,15,20,31,8,9
2021-07-16,Friday,9,14,24,37,39,4,9
2021-07-23,Friday,13,33,42,48,50,3,9
2021-07-30,Friday,5,14,39,43,44,1,6
2021-08-06,Friday,16,19,21,29,36,1,7
2021-08-13,Friday,4,31,39,43,46,1,4
2021-08-20,Friday,8,31,34,36,45,8,10
2021-08-27,Friday,19,20,22,25,42,4,6
2021-09-03,Friday,5,9,20,44,48,4,10
2021-09-10,Friday,2,14,18,23,42,5,10
2021-09-17,Friday,14,17,20,27,32,3,7
2021-09-24,Friday,12,22,35,38,49,5,10
2021-10-01,Friday,20,33,34,37,39,4,8
2021-10-08,Friday,20,28,32,38,46,6,8
2021-10-15,Friday,2,6,8,21,25,6,9
2021-10-22,Friday,15,33,34,38,43,3,7
2021-10-29,Friday,11,23,37,38,44,4,8
2021-11-05,Friday,6,13,25,31,49,2,7
2021-11-12,Friday,4,30,43,44,46,1,3
2021-11-19,Friday,6,12,20,21,34,4,5
2021-11-26,Friday,7,17,21,37,39,3,5
2021-12-03,Friday,2,5,13,15,23,6,8
2021-12-10,Friday,8,9,30,34,48,5,8
2021-12-17,Friday,6,8,16,44,50,1,10
2021-12-24,Friday,3,17,21,35,42,8,9
2021-12-31,Friday,7,16,36,42,43,6,8
2022-01-07,Friday,8,17,21,23,47,2,6
2022-01-14,Friday,9,15,27,41,44,2,4
2022-01-21,Friday,2,5,9,29,32,2,4
2022-01-28,Friday,5,21,23,29,35,7,9
2022-02-04,Friday,12,18,27,33,41,9,10
2022-02-11,Friday,5,10,26,37,42,3,10
2022-02-18,Friday,5,10,25,29,32,4,7
2022-02-25,Friday,4,19,34,41,43,1,5
2022-03-04,Friday,1,17,20,36,49,6,9
2022-03-11,Friday,5,31,39,46,49,8,9
2022-03-18,Friday,1,8,33,38,43,2,6
2022-03-25,Friday,11,20,31,35,46,6,10
2022-03-29,Tuesday,10,15,18,24,39,2,11
2022-04-01,Friday,7,8,35,37,49,5,8
2022-04-05,Tuesday,9,10,28,38,48,8,12
2022-04-08,Friday,2,26,41,45,48,5,12
2022-04-12,Tuesday,19,20,24,36,41,4,5
2022-04-15,Friday,2,5,10,20,24,4,7
2022-04-19,Tuesday,3,7,15,17,35,3,4
2022-04-22,Friday,2,18,28,42,50,2,11
2022-04-26,Tuesday,10,27,32,41,49,1,9
2022-04-29,Friday,5,6,17,18,34,1,11
2022-05-03,Tuesday,6,13,22,24,30,5,10
2022-05-06,Friday,5,6,39,49,50,10,12
2022-05-10,Tuesday,3,7,34,43,50,5,10
2022-05-13,Friday,7,13,30,43,47,7,11
2022-05-17,Tuesday,2,13,41,45,50,2,3
2022-05-20,Friday,4,22,28,32,47,1,2
2022-05-24,Tuesday,25,26,40,45,47,4,5
2022-05-27,Friday,8,26,29,41,48,3,5
2022-05-31,Tuesday,14,30,37,39,50,4,12
2022-06-03,Friday,4,22,27,39,41,1,9
2022-06-07,Tuesday,5,7,45,48,49,3,8
2022-06-10,Friday,3,21,23,28,46,10,12
